date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:30	1741/1741	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:29:29%20GMT	https://csharpexercises.com/robots.txt		(from )
17:29:30	6105/6105	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:29:29%20GMT	https://csharpexercises.com/	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/index.html	(from )
17:29:37	140936/140936	---MCZ	200	added ('OK')	text/css	etag:%221d59a53038daa08%22	https://csharpexercises.com/Style/style.min.css	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/style.min.css	(from https://csharpexercises.com/)
17:29:41	851/851	---MCZ	200	added ('OK')	text/css	etag:%221d626033f22a153%22	https://csharpexercises.com/Style/customstyle.css	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/customstyle.css	(from https://csharpexercises.com/)
17:29:45	8239/8239	---MCZ	200	added ('OK')	text/css	etag:%221d59a530428032f%22	https://csharpexercises.com/Style/sunlight.min.css	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/sunlight.min.css	(from https://csharpexercises.com/)
17:29:45	4064/4064	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-fe0%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	F:/IT/CSharp/csharpexercises/csharpexercises_offline/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.css	(from https://csharpexercises.com/)
17:29:46	20808/20808	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-5148%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	F:/IT/CSharp/csharpexercises/csharpexercises_offline/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.1.0/cookieconsent.min.js	(from https://csharpexercises.com/)
17:29:49	6614/6614	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:29:49%20GMT	https://csharpexercises.com/contact	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/contact.html	(from https://csharpexercises.com/)
17:29:52	7084/7084	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:29:52%20GMT	https://csharpexercises.com/loops/exercise/draw-christmas-tree	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/loops/exercise/draw-christmas-tree.html	(from https://csharpexercises.com/)
17:29:58	6520/6520	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:29:55%20GMT	https://csharpexercises.com/basics	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/basics.html	(from https://csharpexercises.com/)
17:30:02	7374/7374	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:02%20GMT	https://csharpexercises.com/conditional-statements	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/conditional-statements.html	(from https://csharpexercises.com/)
17:30:05	9748/9748	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:04%20GMT	https://csharpexercises.com/loops	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/loops.html	(from https://csharpexercises.com/)
17:30:13	7552/7552	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:13%20GMT	https://csharpexercises.com/strings	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/strings.html	(from https://csharpexercises.com/)
17:30:14	6581/6581	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:15%20GMT	https://csharpexercises.com/recursion	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/recursion.html	(from https://csharpexercises.com/)
17:30:16	6015/6015	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:16%20GMT	https://csharpexercises.com/library-functions	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/library-functions.html	(from https://csharpexercises.com/)
17:30:24	6263/6263	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:20%20GMT	https://csharpexercises.com/regular-expressions	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/regular-expressions.html	(from https://csharpexercises.com/)
17:30:26	8061/8061	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:26%20GMT	https://csharpexercises.com/linq	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/linq.html	(from https://csharpexercises.com/)
17:30:27	5337/5337	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Feb%202021%2012:30:27%20GMT	https://csharpexercises.com/miscellaneous	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/miscellaneous.html	(from https://csharpexercises.com/)
17:30:33	187535/187535	---M--	200	added ('OK')	application/javascript	etag:%221d59a53042aff8f%22	https://csharpexercises.com/Style/style.min.js	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/style.min.js	(from https://csharpexercises.com/)
17:30:36	25177/25177	---M--	200	added ('OK')	application/javascript	etag:%221d59a5304284159%22	https://csharpexercises.com/Style/sunlight.min.js	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/sunlight.min.js	(from https://csharpexercises.com/)
17:30:40	758/758	---M--	200	added ('OK')	application/javascript	etag:%221d59a53042821f6%22	https://csharpexercises.com/Style/custom.js	F:/IT/CSharp/csharpexercises/csharpexercises_offline/csharpexercises.com/Style/custom.js	(from https://csharpexercises.com/)
